offset	patchsize	gop	quality	video.zip	builder.gz
------	---------	---	-------	---------	-----------
0	4	3	0,005	1003998	27355	
0	4	3	0,010	1003951	53783	
0	4	3	0,015	1003763	70461	
0	4	3	0,020	1003573	84288	
0	4	3	0,025	1003272	98577	
0	4	4	0,005	1003896	26684	
0	4	4	0,010	1003994	52494	
0	4	4	0,015	1003866	68944	
0	4	4	0,020	1003525	82203	
0	4	4	0,025	1003341	98151	
0	4	5	0,005	1004093	24734	
0	4	5	0,010	1003921	50774	
0	4	5	0,015	1003855	67992	
0	4	5	0,020	1003471	81783	
0	4	5	0,025	1003322	101534	
0	4	6	0,005	1004057	24073	
0	4	6	0,010	1004025	50067	
0	4	6	0,015	1003782	64246	
0	4	6	0,020	1003664	82136	
0	4	6	0,025	1003395	97753	
0	4	7	0,005	1003943	23123	
0	4	7	0,010	1003850	46463	
0	4	7	0,015	1003853	63850	
0	4	7	0,020	1003711	78186	
0	4	7	0,025	1003278	95889	
0	4	8	0,005	1003849	20393	
0	4	8	0,010	1003921	43760	
0	4	8	0,015	1003878	59528	
0	4	8	0,020	1003605	74515	
0	4	8	0,025	1003476	93475	
0	4	9	0,005	1003989	20023	
0	4	9	0,010	1003827	43095	
0	4	9	0,015	1003668	59296	
0	4	9	0,020	1003625	73404	
0	4	9	0,025	1003308	89398	
0	4	10	0,005	1003951	18457	
0	4	10	0,010	1003846	37964	
0	4	10	0,015	1003766	55465	
0	4	10	0,020	1003612	70889	
0	4	10	0,025	1003359	86831	
0	8	3	0,005	1004395	6271	
0	8	3	0,010	1004492	10103	
0	8	3	0,015	1004439	12463	
0	8	3	0,020	1004331	14176	
0	8	3	0,025	1003872	16313	
0	8	4	0,005	1004236	6045	
0	8	4	0,010	1004551	9966	
0	8	4	0,015	1004504	12138	
0	8	4	0,020	1004290	13872	
0	8	4	0,025	1003905	16317	
0	8	5	0,005	1004336	5716	
0	8	5	0,010	1004583	9654	
0	8	5	0,015	1004520	11699	
0	8	5	0,020	1004275	13261	
0	8	5	0,025	1003889	15817	
0	8	6	0,005	1004323	5713	
0	8	6	0,010	1004557	9244	
0	8	6	0,015	1004518	11226	
0	8	6	0,020	1004490	12815	
0	8	6	0,025	1004056	15161	
0	8	7	0,005	1004189	5318	
0	8	7	0,010	1004447	8739	
0	8	7	0,015	1004443	11047	
0	8	7	0,020	1004343	12582	
0	8	7	0,025	1004005	14829	
0	8	8	0,005	1004145	4786	
0	8	8	0,010	1004415	8328	
0	8	8	0,015	1004386	10178	
0	8	8	0,020	1004221	11926	
0	8	8	0,025	1004010	14143	
0	8	9	0,005	1004281	4646	
0	8	9	0,010	1004502	8274	
0	8	9	0,015	1004442	10433	
0	8	9	0,020	1004383	11675	
0	8	9	0,025	1004057	13697	
0	8	10	0,005	1004153	4392	
0	8	10	0,010	1004331	7820	
0	8	10	0,015	1004366	9818	
0	8	10	0,020	1004291	11402	
0	8	10	0,025	1003940	13478	
0	10	3	0,005	1004643	3580	
0	10	3	0,010	1005478	6014	
0	10	3	0,015	1005974	7268	
0	10	3	0,020	1006669	8398	
0	10	3	0,025	1007139	9361	
0	10	4	0,005	1004519	3443	
0	10	4	0,010	1005454	5833	
